County,License_Number,Establishment_Type,Entity_Name,DBA_Name,Street_Number,Street_Name,City,State_Abbreviation,Zip_Code,Square_Footage,Latitude,Longitude
Jefferson,721374,JAC,BOTTLE CAPS BEVERAGE CTR INC,BOTTLE CAPS,952,ARSENAL ST,WATERTOWN,NY,13601,800,-75.933884,43.976733
Erie,749669,JAC,RAHMA FOODS LLC,RAHMA  SUPERMARKET,975,BROADWAY,BUFFALO,NY,14212,0,-78.838619,42.893137
Kings,709004,A,HEALTH MAX 5TH AVENUE INC,HEALTH MAX PHARMACY,5313,5TH AVE,BROOKLYN,NY,11220,10000,,
Kings,612927,JAC,SSS SUNFLOWER CORP,SUNFLOWER FOOD MARKET,2409,65TH ST,BROOKLYN,NY,11204,1500,-73.976674,40.610969
Oswego,350044,JAC,KTM SCRIBA OPERATIONS INC,KTM MINI MART,2203,CTY RT 1,OSWEGO,NY,13126,2400,,
Bronx,748352,A,MOEBUCKS FOOD CORP,MOEBUCKS FOOD,2444,E TREMONT AVE,BRONX,NY,10461,700,-73.851789,40.842649
Rensselaer,720186,A,DOLLAR TREE STORES INC,DOLLAR TREE #06702,21299,STATE RT 22,HOOSICK FALLS,NY,12090,0,-73.358019,42.880936
Cattaraugus,742267,JAC,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35095B,183,W MAIN ST,ALLEGANY,NY,14706,2500,-78.500017,42.094253
Oneida,300408,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #6469,131,ORISKANY BLVD SUITE 7,WHITESBORO,NY,13492,6800,-75.292991,43.118989
Queens,740179,JAC,7 STAR GOURMET DELI INC,7 STAR GOURMET DELI,122-23,GUY R BREWER BLVD,JAMAICA,NY,11434,1000,-73.779632,40.678553
New York,628645,JAC,PRAMUKH 16 INC,NATURAL HEALTH FOOD MAR,162,3RD AVE,NEW YORK,NY,10003,2000,-73.986302,40.734507
Bronx,609834,JAC,JSMD FOOD CORP,C TOWN 054,100,HUGH J GRANT CIRCLE,BRONX,NY,10472,8000,-73.860947,40.832672
Kings,750173,JAC,A&J DELI MARKET CORP,A&J DELI MARKET,5004,3RD AVENUE,BROOKLYN,NY,11220,500,-74.014879,40.647636
Bronx,608536,A,DOLLAR RESORT INC,DOLLAR RESORT,190,EAST 167 ST,BRONX,NY,10456,0,-73.917169,40.834221
Bronx,733520,A,5235 BROADWAY INC,BRADWAY DEALS,5237,BROADWAY,BRONX,NY,10463,0,-73.908844,40.875428
New York,625828,A,WILLIAMS SONOMA INC,WILLIAMS SONOMA,10,COLUMBUS CIRCLE,NEW YORK,NY,10019,8000,-73.9827,40.7674
Oswego,350173,A,BURT GOODNOUGHS MARINA EAST INC,BURT GOODNOUGHS MARINA,9245,ST RTE 3,SANDY CREEK,NY,13145,200,-76.171808,43.676849
New York,719807,A,THE TJX COMPANIES INC,TJ MAX 1185,407,E 59TH ST,NEW YORK,NY,10022,11000,-73.961354,40.759362
Kings,734849,JAC,CROWN STAR DELI INC,CROWN STAR DELI,240,UTICA AVE,BROOKLYN,NY,11213,1000,-73.930974,40.670349
Monroe,746843,JAC,ADEN MINI MART INC,ADEN MINI MART,1384,N CLINTON AVENUE,ROCHESTER,NY,14621,0,-77.613766,43.185103
Bronx,718974,JAC,A&G DELI GROCERY II CORP,A & G DELI GROCERY II,976,PROSPECT AVE,BRONX,NY,10459,0,-73.900093,40.823323
Onondaga,311153,JABC,TOPS PT LLC,TOPS 357,2265,DOWNER ST,BALDWINSVILLE,NY,13027,50000,,
Kings,735820,JAC,THREE STARS DELI 1 CORP,THREE STARS DELI 1,1221,FLATBUSH AVE,BROOKLYN,NY,11226,0,-73.955391,40.640256
Tompkins,500112,JABC,TOPS MARKETS LLC,TOPS 525,710,SOUTH MEADOW ST,ITHACA,NY,14850,0,-76.508019,42.432122
New York,731076,A,MILLENNIUM CONVENIENCE & GROCERY,MILLENNIUM CONVENIENCE,1737,YORK AVE,NEW YORK,NY,10128,1500,-73.945051,40.778778
Madison,255166,JAC,UNITED REFINING CO OF PA INC,RED APPLE FD MRT M0361,129,N MAIN ST  (RT 46),ONEIDA,NY,13421,1200,-75.653321,43.097207
Queens,751075,JAC,120 FRESH MARKET INC,HAPPY FARM,120-01,LIBERTY AVE,SOUTH RICHMOND HIL,NY,11419,0,-73.822998,40.686694
Kings,612528,A,WALGREEN EASTERN CO INC,WALGREENS 2650,5716,AVENUE U,BROOKLYN,NY,11234,10000,-73.917183,40.613298
Greene,727075,JAC,TAMANNA INC,TAMANNA,441,MAIN ST PO BOX 845,CAIRO,NY,12413,800,-73.994395,42.295963
Queens,747760,JAC,ROCKAWAY GOURMET DELI INC,ROCKAWAY GOURMET DELI,131-02,ROCKAWAY BLVD,SOUTH OZONE PARK,NY,11420,0,-73.807217,40.674884
Dutchess,736374,A,FIVE BELOW INC (8020),FIVE BELOW,2001,SOUTH RD STE A113,POUGHKEEPSIE,NY,12601,4000,-73.917119,41.626711
Bronx,726039,JAC,CHOI HAE S,165 STREET MARKET,245,EAST 165TH STREET,BRONX,NY,10456,2200,-73.917284,40.829654
Montgomery,732158,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18503,201,E MAIN ST,AMSTERDAM,NY,12010,9160,-74.18552,42.93391
Queens,745703,JAC,BOLLA OPERATING CORP,BOLLA 100-03 COHANCY C-,100-03,N CONDUIT AVE,OZONE PARK,NY,11417,3000,-73.834436,40.667071
Suffolk,472567,JAC,2010 LOS CERCADILLOS GROCERY CORP,LOS CERCADILLOS GRCY,184,DEPOT RD,HUNTINGTON STATION,NY,11746,2000,-73.405796,40.843997
Chenango,85182,JAC,VERONA OIL CO INC,COUNTRY STORE 13,30,MAPLE ST,AFTON,NY,13730,2400,-75.521874,42.226047
Westchester,727192,JAC,LA PLACITA MEAT & PRODUCE INC,LA PLACITA MEAT & PRODU,1,PARK AVENUE,MOUNT VERNON,NY,10550,7000,-73.833989,40.912814
Seneca,716217,JAC,CST NEW YORK LLC,CIRCLE K 4707632,193,FALL ST,SENECA FALLS,NY,13148,0,-76.804998,42.910539
Ulster,730794,JAC,SWIFT PETROL INC,MOBIL 44/55,560,ROUTE 44/55,HIGHLAND,NY,12528,1400,-74.009681,41.692752
Cortland,110105,JAC,CORTLAND BEER COMPANY LLC,CORTLAND BEER,16,COURT ST,CORTLAND,NY,13045,1120,-76.179553,42.599334
Queens,636420,A,WALGREEN EASTERN CO INC,WALGREENS 1180,33-55-67,CRESCENT ST,LONG ISLAND CITY,NY,11106,2000,,
Kings,737391,JAC,CANAAN DELI CORP,CANAAN DELI,191,YORK STREET,BROOKLYN,NY,11201,0,-73.983199,40.701378
New York,739662,JAC,WESTSIDE FRUITS & VEGETABLES INC,WESTSIDE FRUITS & VEGET,900,AMSTERDAM AVENUE,NEW YORK,NY,10025,1000,-73.966597,40.79924
Westchester,745339,JAC,916 LATIN DELI GROCERY CORP,916 LATIN DELI GROCERY,916,MAIN ST #920,PEEKSKILL,NY,10566,1600,-73.921624,41.291519
New York,719008,A,HUDSON GROUP (HG) RETAIL LLC,HUDSON #1111,625,8TH AVE,NEW YORK,NY,10018,0,-73.990466,40.7563
Bronx,705939,JAC,LA BODEGUITA DE ROSAURA INC,LA BODEGUITA DE ROSAURA,160,E 174TH ST,BRONX,NY,10457,0,-73.908397,40.845213
Dutchess,130805,JAC,LAXMI BUILDING INC,BEACON NATURAL MARKET,348,MAIN ST,BEACON,NY,12508,5500,-73.968483,41.504214
Nassau,707209,JACK,CENTERPORT PACKING CO INC,RIVERHEAD BEAN CO,485-17,S BROADWAY,HICKSVILLE,NY,11801,5000,-73.509924,40.756293
Nassau,737571,JAC,MAHANT 179 INC,HARRYS MARKET,179,ATLANTIC AVE,FREEPORT,NY,11520,4000,-73.583842,40.645779
Ulster,720653,JAC,SPEEDWAY LLC,SPEEDWAY #07722,399,RT 212,SAUGERTIES,NY,12477,2500,-73.977722,42.083189
New York,624461,JAC,FARE FARM FOOD CORP,FINE FARE SUPERMARKET,4776,BROADWAY,NEW YORK,NY,10034,15000,-73.926534,40.865794
Putnam,370103,JAC,123 JACKPOT INC,CARMEL EXTRA FUEL,89,GLENEIDA AVE,CARMEL,NY,10512,300,-73.679608,41.42972
Kings,751151,A,FRIDGE NO MORE INC,FRIDGE NO MORE,3344,NOSTRAND AVE,BROOKLYN,NY,11229,0,-73.942264,40.602404
New York,626701,A,DUANE READE ETAL PTRS,DUANE READE 14356,325,NORTH END AVE,NEW YORK,NY,10281,2000,-74.014749,40.716845
Greene,704475,JAC,TOPS MARKETS LLC,TOPS #720,11573,STATE ROUTE 32,GREENVILLE,NY,12083,50000,-74.017151,42.428622
New York,712840,JAC,IN & OUT TOBACCO DELI CORP,IN & OUT TOBACCO DELI,1020,6TH AVE,NEW YORK,NY,10018,1200,-73.985849,40.752428
Clinton,747763,JAC,PROVOST KEITH,ADIRONDACK JUICE WORKS,90,SHARRON AVENUE,PLATTSBURGH,NY,12901,300,-73.453056,44.678234
Westchester,710912,JAC,GENJI LLC,GENJI,575,BOSTON POST RD,PORT CHESTER,NY,10573,15,-73.675998,40.993122
Oneida,712966,JAC,UTICA DELI & GROCERY MKT. INC,UTICA DELI & GROCERY,625,ALBANY STREET,UTICA,NY,13501,800,-75.215931,43.095697
Queens,748327,JAC,MINI GROCERY NATIONAL CORP,MINI GROCERY NATIONAL C,42-22,NATIONAL ST,CORONA,NY,11368,0,-73.863709,40.746897
Kings,728407,JAC,JOHANSEL DELI FOOD CORP,JOHANSEL DELI FOOD,383,NOSTRAND AVE,BROOKLYN,NY,11216,1400,-73.950407,40.684589
Steuben,750803,A,WAYLAND EXPRESS 1 LLC,WAYLAND EXPRESS 1,2341,STREET NY-63,WAYLAND,NY,14572,0,-77.601986,42.563704
Bronx,736638,JAC,FRIENDS AND FAMILY DELI CORP,FRIENDS AND FAMILY DELI,59,W 170TH STREET,BRONX,NY,10452,0,-73.920812,40.840403
Queens,736802,JAC,BIG APPLE DELI INC THE,BIG APPLE DELI THE,42-16,30TH AVENUE,ASTORIA,NY,11103,3000,-73.912811,40.762866
Montgomery,270101,JAC,FIVE CORNERS MOBILE INC,FIVE CORNERS MOBILE,165,CHURCH ST,AMSTERDAM,NY,12010,2400,-74.178615,42.937177
Nassau,281020,A,OCEANSIDE CARDS INC,50% OFF CARDS,35-56,LONG BEACH RD,OCEANSIDE,NY,11572,2000,-73.640185,40.642599
Broome,30330,A,FAMILY DOLLAR STORES OF NY INC,FAMILY DOLLAR #3819,1173,VESTAL AVE,BINGHAMTON,NY,13903,7200,-75.914848,42.088818
New York,714991,JAC,181 PARK DELI CORP,GRILL & HEIGHT DELI,508,W 181ST ST,NEW YORK,NY,10033,1500,-73.931587,40.848403
Kings,612165,JAC,F&G SUPERMARKET CORP,F&G SUPERMARKET,2807,86TH ST,BROOKLYN,NY,11223,0,-73.978812,40.592859
Westchester,744372,JAC,PAULIES GRAB & GO LLC,PAULIES GRAB & GO,24,WOODSBRIDGE RD,KATONAH,NY,10536,900,-73.685664,41.261692
Kings,727440,JAC,GREENE MARKET INC,GREENE MARKET,137,STUYVESANT AVE,BROOKLYN,NY,11221,1200,-73.933606,40.690746
Queens,639429,JAC,AAN DELI&GROCERY INC,AAN DELI&GROCERY,35-14,28TH AVE,ASTORIA,NY,11103,1000,-73.916354,40.766726
Ontario,733039,JAC,MALCHOS MANCHESTER MART INC,MALCHOS MANCHESTER MART,70,N MAIN ST,MANCHESTER,NY,14504,3500,-77.228301,42.974766
Queens,748930,JAC,MOUNT EVEREST MARKET & DELI INC,MOUNT EVEREST MARKET &,56-09,MYRTLE AVE,RIDGEWOOD,NY,11385,0,-73.905861,40.700164
New York,629109,JAC,ADNADER INC,ADNADER INC,218,ST NICHOLAS AVE,NEW YORK,NY,10027,1600,-73.952906,40.80755
Greene,748640,A,LASH SIERRA,EARTHWORM,7829,ROUTE 81,OAK HILL,NY,12460,0,-74.152658,42.410615
Kings,748130,JAC,SPECIAL FOOD MARKET CORP,SPECIAL FOOD MARKET,661,EVERGREEN AVE,BROOKLYN,NY,11207,0,-73.910069,40.687191
Queens,746738,JAC,SMILE N DELIGHT INC,SMILE N DELIGHT,66-18,99TH STREET,REGO PARK,NY,11374,0,-73.854757,40.728045
